2017-09-04,2017-12-13,8.800000000000001
2017-09-04,2017-12-14,2
2017-09-04,2017-12-15,2
2017-09-04,2017-12-16,NULL
2017-09-04,2017-12-17,3.8
2017-09-04,2017-12-18,0.8
2017-09-04,2017-12-19,1
2017-09-04,2017-12-20,0.2
2017-09-04,2017-12-21,3.6
2017-09-04,2017-12-22,0.8
2017-09-04,2017-12-23,NULL
2017-09-04,2017-12-24,1.32
2017-09-04,2017-12-25,0.2
2017-09-04,2017-12-26,NULL
2017-09-04,2017-12-27,1.2
2017-09-04,2017-12-28,0.68
2017-09-04,2017-12-29,NULL
2017-09-04,2017-12-30,0.7
2017-09-04,2017-12-31,1.4
2017-09-04,2018-01-01,1
2017-09-04,2018-01-02,1.4
2017-09-04,2018-01-03,0.8
2017-09-04,2018-01-04,1.1
2017-09-04,2018-01-05,NULL
2017-09-04,2018-01-06,0.6
2017-09-04,2018-01-07,NULL
2017-09-04,2018-01-08,1.1
2017-09-04,2018-01-09,5.6
2017-09-04,2018-01-10,3
2017-09-04,2018-01-11,2.1
2017-09-04,2018-01-12,2.2
2017-09-04,2018-01-13,1.2
2017-09-04,2018-01-14,2.6
2017-09-04,2018-01-15,1
2017-09-04,2018-01-16,0.2
2017-09-04,2018-01-17,NULL
2017-09-04,2018-01-18,1.8
2017-09-04,2018-01-19,NULL
2017-09-04,2018-01-20,1.9
2017-09-04,2018-01-21,NULL
2017-09-04,2018-01-22,1.2
2017-09-04,2018-01-23,NULL
2017-09-04,2018-01-24,0.8
2017-09-04,2018-01-25,NULL
2017-09-05,2017-09-01,NULL
2017-09-05,2017-09-02,NULL
2017-09-05,2017-09-03,NULL
2017-09-05,2017-09-04,NULL
2017-09-05,2017-09-05,495.875
2017-09-05,2017-09-06,204.252
2017-09-05,2017-09-07,103.46
2017-09-05,2017-09-08,212.092
2017-09-05,2017-09-09,187.777
2017-09-05,2017-09-10,945.836
2017-09-05,2017-09-11,457.836
2017-09-05,2017-09-12,397.9
2017-09-05,2017-09-13,506.648
2017-09-05,2017-09-14,133.59
2017-09-05,2017-09-15,284.195
2017-09-05,2017-09-16,683.846
